Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,31965,6463,607,50570.535156,0.012003
2,1000,0.8,0.2,50.0,1000,31903,6438,640,50100.382812,0.012774
3,1000,0.8,0.2,50.0,1000,31743,6262,616,50641.421875,0.012164
4,1000,0.8,0.2,50.0,1000,32512,6479,632,51194.210938,0.012345
5,1000,0.8,0.2,50.0,1000,31217,6161,601,50023.683594,0.012014
6,1000,0.8,0.2,50.0,1000,32086,6471,626,50722.253906,0.012342
7,1000,0.8,0.2,50.0,1000,31033,6164,596,49034.179688,0.012155
8,1000,0.8,0.2,50.0,1000,32307,6540,631,51552.570312,0.012240
9,1000,0.8,0.2,50.0,1000,31907,6486,618,50578.546875,0.012219
10,1000,0.8,0.2,50.0,1000,32079,6370,613,50626.308594,0.012108
