Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,17025,6827,957,51042.699219,0.018749
2,1000,0.6,0.2,50.0,1000,20638,8163,929,48195.675781,0.019276
3,1000,0.6,0.2,50.0,1000,21555,8647,954,49184.097656,0.019397
4,1000,0.6,0.2,50.0,1000,19506,7747,950,50232.050781,0.018912
5,1000,0.6,0.2,50.0,1000,15521,6179,947,50357.175781,0.018806
6,1000,0.6,0.2,50.0,1000,14828,5867,972,51141.472656,0.019006
7,1000,0.6,0.2,50.0,1000,19574,7773,979,51398.683594,0.019047
8,1000,0.6,0.2,50.0,1000,16305,6440,972,50841.871094,0.019118
9,1000,0.6,0.2,50.0,1000,18846,7477,979,48773.011719,0.020073
10,1000,0.6,0.2,50.0,1000,22261,8792,754,49941.648438,0.015098
