Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,7454,3049,998,50485.589844,0.019768
2,1000,0.6,0.2,50.0,1000,8098,3157,998,50355.761719,0.019819
3,1000,0.6,0.2,50.0,1000,8099,3227,998,49351.742188,0.020222
4,1000,0.6,0.2,50.0,1000,7616,3105,998,50610.199219,0.019719
5,1000,0.6,0.2,50.0,1000,23646,5390,681,51978.718750,0.013102
6,1000,0.6,0.2,50.0,1000,37271,7444,376,51557.144531,0.007293
7,1000,0.6,0.2,50.0,1000,47285,8935,133,50115.042969,0.002654
8,1000,0.6,0.2,50.0,1000,7764,3106,998,49446.449219,0.020183
9,1000,0.6,0.2,50.0,1000,34646,7140,460,51589.253906,0.008917
10,1000,0.6,0.2,50.0,1000,7918,3199,996,50636.816406,0.019669
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,46817,8707,357,48887.730469,0.007302
2,1000,0.8,0.2,50.0,1000,48065,8963,490,51301.171875,0.009551
3,1000,0.8,0.2,50.0,1000,47148,8940,621,50136.136719,0.012386
4,1000,0.8,0.2,50.0,1000,47705,8846,320,49290.281250,0.006492
5,1000,0.8,0.2,50.0,1000,45812,8554,508,50840.542969,0.009992
6,1000,0.8,0.2,50.0,1000,47897,9054,488,51066.511719,0.009556
7,1000,0.8,0.2,50.0,1000,47375,8799,440,49309.140625,0.008923
8,1000,0.8,0.2,50.0,1000,47192,8823,392,49068.730469,0.007989
9,1000,0.8,0.2,50.0,1000,47133,8652,343,49266.714844,0.006962
10,1000,0.8,0.2,50.0,1000,46453,8657,419,49104.054688,0.008533
